Nome do Campo,Descrição,Tipo,Obrigatório,Rastreável,Exemplo
preco,Valor da transação em reais,number,Sim,Sim,100000.75
quantidade_de_moedas,Quantidade de moedas negociadas,number,Sim,Sim,2.50
criacao_ordem,Data e hora de criação da ordem,date,Sim,Sim,2026-03-23T14:00:00Z
confirmacao_ordem,Data e hora de confirmação da ordem,date,Sim,Sim,2026-03-23T14:30:00Z
tipo_transacao,Tipo da transação: debito ou credito,string,Sim,Sim,debito
id_usuario,Identificador único do usuário,string,Sim,Sim,user12345
tipo_ordem,Tipo de ordem: compra ou venda,string,Sim,Sim,compra
tipo_ativo,Tipo de criptomoeda negociada,string,Sim,Sim,BTC
id_ordem,Identificador único da ordem,string,Sim,Sim,ord56789
status_ordem,Status atual da operação,string,Sim,Sim,concluida
status_safer,Status da operação no sistema Safer,string,Sim,Sim,aprovado
